,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
20287,Passage Bio,https://www.crunchbase.com/organization/passage-bio,"Philadelphia, Pennsylvania, United States",Biotechnology,Series B,2019-09-04,110000000.0,USD,110000000.0,1-10,225500000.0,USD,225500000.0,2.0,,,,,,1.0,,,,For Profit,2018-01-01,https://twitter.com/passage_bio,https://www.facebook.com/pg/PassageBio/,https://www.linkedin.com/company/passage-bio/,IPO,,,$10M to $50M
20317,Order Handler,https://www.crunchbase.com/organization/order-handler,"Shanghai, Shanghai, China","E-Commerce, E-Commerce Platforms, Fashion, Food and Beverage",Series B,2019-06-24,100000000.0,CNY,14541012.0,11-50,24541012.0,USD,24541012.0,2.0,,,,,,,,,,,2018-01-01,,,,Early Stage Venture,,,$1M to $10M
20329,Midu Reader,https://www.crunchbase.com/organization/midu-reader,"Shanghai, Shanghai, China","Digital Media, Media and Entertainment, Reading Apps",Series B,2019-10-16,100000000.0,USD,100000000.0,11-50,114000000.0,USD,114000000.0,2.0,,,,,,,,,,For Profit,2018-01-01,,,,Early Stage Venture,,,Less than $1M
20363,Nemis Technologies,https://www.crunchbase.com/organization/nemis-technologies,"Dubendorf, Zurich, Switzerland",Biotechnology,Series B,2020-03-16,3400000.0,CHF,3588636.0,1-10,6400000.0,CHF,6647585.0,2.0,,,,,,3.0,,,,,2018-01-01,,,https://www.linkedin.com/company/nemis-technologies-ag/,Early Stage Venture,,,$10M to $50M
20734,Paige,https://www.crunchbase.com/organization/paige-ai,"New York, New York, United States","Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning",Series B,2020-04-23,5000000.0,USD,5000000.0,11-50,75000000.0,USD,75000000.0,3.0,,,,,,3.0,,,,For Profit,2018-02-01,https://www.twitter.com/paige_ai?lang=en,,https://www.linkedin.com/company/paige-ai,Early Stage Venture,,,Less than $1M
20735,Deliverect,https://www.crunchbase.com/organization/deliverect,"Ghent, Oost-Vlaanderen, Belgium","Food Delivery, Online Portals, Restaurants, SaaS, Software",Series B,2020-04-29,16250000.0,EUR,17675877.0,51-100,19900000.0,EUR,21799208.0,3.0,,,,,,3.0,,,,For Profit,2018-04-02,https://twitter.com/Deliverect_com,https://www.facebook.com/deliverect,https://www.linkedin.com/company/deliverecthq/,Early Stage Venture,,,$1M to $10M
20738,TIER Mobility,https://www.crunchbase.com/organization/tier-mobility,"Berlin, Berlin, Germany","Electric Vehicle, Last Mile Transportation, Recreational Vehicles, Rental, Ride Sharing",Series B,2020-02-21,40000000.0,USD,40000000.0,251-500,130993609.0,USD,130993609.0,4.0,Made Acquisitions,,,1.0,,3.0,,,,For Profit,2018-07-01,https://twitter.com/tierscooters,https://www.facebook.com/tier.scooter,https://www.linkedin.com/company/tiermobility/,Early Stage Venture,,,$10M to $50M
20740,SECURITI.ai,https://www.crunchbase.com/organization/securiti-ai,"San Jose, California, United States","Artificial Intelligence, Cyber Security, Machine Learning, Privacy, SaaS, Security, Software",Series B,2020-01-28,50000000.0,USD,50000000.0,101-250,81000000.0,USD,81000000.0,2.0,,,,,,1.0,,,,For Profit,2018-11-01,https://twitter.com/SecuritiAI,https://www.facebook.com/SecuritiAI-817303171972413/,https://www.linkedin.com/company/securiti/,Early Stage Venture,,,$10M to $50M
20799,Nice Tuan,https://www.crunchbase.com/organization/nice-tuan,"Beijing, Beijing, China","E-Commerce, Food and Beverage",Series B,2020-01-09,88300000.0,USD,88300000.0,1-10,191210000.0,USD,191210000.0,4.0,,,,,,,,,,,2018-08-31,,,,Early Stage Venture,,,$1M to $10M
21302,simsim,https://www.crunchbase.com/organization/simsim,"New Delhi, Delhi, India","Apps, E-Commerce, Internet",Series B,2020-02-14,8200000.0,USD,8200000.0,11-50,15450000.0,USD,15450000.0,3.0,,,,,,3.0,,,,For Profit,2019-01-01,,,https://www.linkedin.com/company/simsim-in/,Early Stage Venture,,,$1M to $10M
21331,Transcenta,https://www.crunchbase.com/organization/transcenta,"Huangpu, Shanghai, China","Biopharma, Biotechnology",Series B,2020-01-08,100000000.0,CNY,14396360.0,251-500,100000000.0,CNY,14396360.0,2.0,Made Acquisitions,,,2.0,,,,,,For Profit,2019-01-01,,,https://in.linkedin.com/company/transcenta,Early Stage Venture,,,$1M to $10M
21503,Measure,https://www.crunchbase.com/organization/measure-2,"Washington, District of Columbia, United States","Drones, Geospatial, Mapping Services, Software",Series B,2017-01-17,22000000.0,USD,22000000.0,1-10,27500000.0,USD,27500000.0,3.0,Made Acquisitions,,,1.0,,4.0,,,,For Profit,2020-02-01,https://twitter.com/droneasaservice,https://www.facebook.com/measureuas,https://www.linkedin.com/company/measureuas/,Early Stage Venture,,,$1M to $10M
