,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
49,Gravitational,https://www.crunchbase.com/organization/gravitational,"Oakland, California, United States","Cloud Data Services, Cloud Infrastructure, Privacy, SaaS, Software",Series A,2019-11-20,25000000.0,USD,25000000.0,11-50,29200000.0,USD,29200000.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/gravitationalco,https://www.facebook.com/gravitationalinc,https://www.linkedin.com/company/gravitational/,Early Stage Venture,,,Less than $1M
51,Full Harvest,https://www.crunchbase.com/organization/fullharvest,"San Francisco, California, United States","Agriculture, B2B, E-Commerce, Farming, Food and Beverage, Retail, Sustainability",Series A,2018-08-15,8500000.0,USD,8500000.0,11-50,11500000.0,USD,11500000.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/fullharvestsf,https://www.facebook.com/fullharvestsf,https://www.linkedin.com/company/full-harvest-technologies/,Early Stage Venture,,,Less than $1M
52,Luka (dba Replika),https://www.crunchbase.com/organization/io,"San Francisco, California, United States","Artificial Intelligence, Lifestyle, Restaurants, Software, Travel",Series A,2017-11-30,6500000.0,USD,6500000.0,11-50,10920000.0,USD,10920000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/MyReplika,https://www.facebook.com/myownreplika,https://www.linkedin.com/company/luka-inc,Early Stage Venture,,,Less than $1M
53,Shyft,https://www.crunchbase.com/organization/shyftmoving,"San Francisco, California, United States","Internet, SaaS, Transportation, Video Chat",Series A,2020-01-21,15000000.0,USD,15000000.0,101-250,15317000.0,USD,15317000.0,6.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/shyftmoving,https://www.facebook.com/shyftmoving,https://www.linkedin.com/company/shyftmoving/,Early Stage Venture,,,Less than $1M
58,Formation,https://www.crunchbase.com/organization/formationai,"San Francisco, California, United States","Business Intelligence, Communications Infrastructure, Personalization",Series A,2016-07-25,30000000.0,USD,30000000.0,51-100,30000000.0,USD,30000000.0,1.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/usetakt,https://www.facebook.com/formationai/,https://www.linkedin.com/company/formationai/,Early Stage Venture,,,Less than $1M
62,Verge Genomics,https://www.crunchbase.com/organization/verge-genomics,"San Francisco, California, United States","Bioinformatics, Biotechnology, Genetics, Health Care, Machine Learning, Neuroscience, Therapeutics",Series A,2018-07-17,32000000.0,USD,32000000.0,11-50,36120000.0,USD,36120000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/VergeGenomics,,https://www.linkedin.com/company/verge-genomics/,Early Stage Venture,,,Less than $1M
64,Serverless,https://www.crunchbase.com/organization/serverless,"San Francisco, California, United States","Computer, Consumer Applications, Online Portals, Open Source, Software",Series A,2018-07-30,10000000.0,USD,10000000.0,11-50,13000000.0,USD,13000000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/goserverless,https://www.facebook.com/serverless,https://www.linkedin.com/company/serverless/,Early Stage Venture,,,Less than $1M
66,WorkRamp,https://www.crunchbase.com/organization/workramp,"San Francisco, California, United States","Human Resources, Internet, Knowledge Management, Sales, Sales Automation, Software, Training",Series A,2019-06-06,8000000.0,USD,8000000.0,11-50,10200000.0,USD,10200000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/workramp,https://www.facebook.com/workramp/,https://www.linkedin.com/company/7166427,Early Stage Venture,,,Less than $1M
67,Iris Automation,https://www.crunchbase.com/organization/iris-automation-inc,"San Francisco, California, United States","Artificial Intelligence, Computer Vision, Drones, Industrial, Robotics",Series A,2018-01-18,8000000.0,USD,8000000.0,11-50,10000000.0,USD,10000000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/iris_automation,https://www.facebook.com/irisautomation/,https://www.linkedin.com/company/iris-automation/,Early Stage Venture,,,Less than $1M
68,GetAccept,https://www.crunchbase.com/organization/getaccept,"San Francisco, California, United States","Artificial Intelligence, Document Management, E-Signature, Machine Learning, SaaS, Sales Automation",Series A,2019-07-11,7000000.0,USD,7000000.0,101-250,8720000.0,USD,8720000.0,3.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/getaccept,https://www.facebook.com/GetAccept,https://www.linkedin.com/company/getaccept,Early Stage Venture,,,Less than $1M
