,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
4703,Kasita,https://www.crunchbase.com/organization/kasita,"Austin, Texas, United States","Architecture, Construction, Hotel, Lifestyle, Smart Building",Undisclosed,2016-09-23,10000000.0,USD,10000000.0,1-10,10890000.0,USD,10890000.0,3.0,,,,,,4.0,,,,For Profit,2015-04-01,https://twitter.com/_kasita,https://www.facebook.com/kasitaco,https://www.linkedin.com/company/kasita,,,,Less than $1M
4807,Brainpan Innovations,https://www.crunchbase.com/organization/brainpan-innovations-3,"Lucknow, Uttar Pradesh, India","Big Data, Health Care, Health Diagnostics, Hospital, Management Information Systems, Medical, Predictive Analytics, Simulation",Undisclosed,2017-10-01,80000.0,USD,80000.0,11-50,130000.0,USD,130000.0,2.0,,,,,,3.0,,,,For Profit,2015-04-15,https://twitter.com/brainpan2015,https://www.facebook.com/Brainpan-Innovations-Private-Limited-1036155206415911,https://www.linkedin.com/company/6642639,,,,$1M to $10M
5615,Shield,https://www.crunchbase.com/organization/shield,"Nairobi, Nairobi Area, Kenya","Finance, FinTech",Undisclosed,2016-11-01,70000.0,USD,70000.0,11-50,70000.0,USD,70000.0,1.0,,,,,,1.0,,,,,2015-05-01,https://twitter.com/shieldfinance,https://www.facebook.com/shieldfinance,,,,,Less than $1M
5642,MegaIndex,https://www.crunchbase.com/organization/megaindex,"Moscow, Moscow City, Russian Federation","Analytics, Big Data, Industrial Automation, Internet",Undisclosed,2017-02-01,1000000.0,USD,1000000.0,,1600000.0,USD,1600000.0,3.0,,,,,,,,,,For Profit,2015-05-01,https://www.twitter.com/megaindexglobal,https://www.facebook.com/megaindexglobal,,,,,$1M to $10M
5739,Corpa,https://www.crunchbase.com/organization/corpa,"San Francisco, California, United States","Enterprise Software, iOS, Mobile, SaaS",Undisclosed,2017-01-03,,,,11-50,,,,2.0,,,,,,1.0,,,,For Profit,2015-05-20,https://mobile.twitter.com/corpahq,https://www.facebook.com/corpaio,https://www.linkedin.com/company/6579806,,,,Less than $1M
6339,CONCURED,https://www.crunchbase.com/organization/concured,"London, England, United Kingdom","Artificial Intelligence, Content Delivery Network, Content Marketing",Undisclosed,2019-06-02,,,,11-50,1300000.0,USD,1300000.0,3.0,,,,,,1.0,,,,,2015-06-20,https://www.twitter.com/concured,https://www.facebook.com/concured,https://www.linkedin.com/company/concured,,,,$1M to $10M
6348,XTPL,https://www.crunchbase.com/organization/xtpl,"Wroclaw, Dolnoslaskie, Poland","Manufacturing, Nanotechnology, Printing",Undisclosed,2019-06-13,2500000.0,EUR,2819888.0,11-50,10690024.0,EUR,12079903.0,8.0,,,,,,1.0,,,,For Profit,2015-06-24,https://twitter.com/XTPL_nanoprint,https://www.facebook.com/xtplofficial/,https://www.linkedin.com/company/xtpl/,IPO,,,Less than $1M
6359,Blockbonds,https://www.crunchbase.com/organization/blockbonds,"Kristiansand, Vest-Agder, Norway","Financial Services, FinTech, Mobile Payments",Undisclosed,2018-11-30,3433845.0,USD,3433845.0,11-50,8730733.0,USD,8730733.0,8.0,,,,,,3.0,,,,For Profit,2015-06-01,,https://www.facebook.com/SPENNapp/,https://www.linkedin.com/company/blockbonds,,,,Less than $1M
6595,Agro Intelligence,https://www.crunchbase.com/organization/agro-intelligence,"Aarhus, Midtjylland, Denmark","Agriculture, Robotics",Undisclosed,2016-12-30,,,,11-50,,,,1.0,,,,,,1.0,,,,For Profit,2015-06-01,,https://www.facebook.com/AGROINTELLI/,https://www.linkedin.com/company/agro-intelligence-aps,,,,$10M to $50M
6779,Datadrive,https://www.crunchbase.com/organization/datadrive,"ReykjavÃ­k, Gullbringusysla, Iceland","Automotive, Real Time",Undisclosed,2016-03-30,,,,1-10,,,,1.0,Was Acquired,KGS,https://www.crunchbase.com/organization/klappir,,,4.0,,,,For Profit,2015-06-09,https://twitter.com/getdatadrive,https://www.facebook.com/datadrive-187855971546138,https://www.linkedin.com/company/datadrive---we-connect-cars,M&A,,2016-06-01,Less than $1M
6978,BloomAway,https://www.crunchbase.com/organization/bloomaway,"Secunderabad, Andhra Pradesh, India","Flowers, Handmade, Packaging Services",Undisclosed,2015-11-10,,,,11-50,,,,1.0,,,,,,1.0,,,,,2015-06-02,,,,,,,$1M to $10M
7092,Bark Technologies,https://www.crunchbase.com/organization/bark-technologies,"Atlanta, Georgia, United States","Artificial Intelligence, Children, Internet, Machine Learning, Parenting, Software",Undisclosed,2020-03-01,,,,11-50,16475000.0,USD,16475000.0,5.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2015-07-01,https://twitter.com/barktechco,https://www.facebook.com/barktechnologies/,https://www.linkedin.com/company/7582462,,,,$1M to $10M
7168,SPIDR Tech,https://www.crunchbase.com/organization/spidr-2,"Manhattan Beach, California, United States","Analytics, GovTech, Information Technology, Law Enforcement",Undisclosed,2019-03-01,,,,11-50,5999367.0,USD,5999367.0,7.0,,,,,,3.0,,,,For Profit,2015-07-01,https://twitter.com/SPIDRTech,,https://www.linkedin.com/company/spidr-tech,,,,Less than $1M
7169,3AM Innovations,https://www.crunchbase.com/organization/3am-innovations,"Buffalo, New York, United States","Electronics, Sensor, Software",Undisclosed,2019-09-26,150000.0,USD,150000.0,1-10,2352500.0,USD,2352500.0,6.0,,,,,,2.0,,,,For Profit,2015-07-01,https://twitter.com/Flaresafety,https://www.facebook.com/3AMInnovations/,https://www.linkedin.com/company/16191942/,,,,Less than $1M
7240,"Cuttime, Inc.",https://www.crunchbase.com/organization/cuttime-fm,"New York, New York, United States",Music,Undisclosed,2016-02-01,3650000.0,USD,3650000.0,1-10,3650000.0,USD,3650000.0,1.0,,,,,,3.0,,,,For Profit,2015-07-15,,,,,,,Less than $1M
7241,Treamer,https://www.crunchbase.com/organization/treamer,"Helsinki, Southern Finland, Finland","Apps, B2B, B2C, Employment, Marketplace, Staffing Agency",Undisclosed,2018-06-04,370000.0,EUR,432904.0,1-10,1325000.0,EUR,1483477.0,4.0,,,,,,4.0,,,,,2015-07-01,https://twitter.com/TreamerApp,https://www.facebook.com/TreamerApp,https://www.linkedin.com/company/treamer,,,,$1M to $10M
