,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
11313,Omnicharge,https://www.crunchbase.com/organization/omnicharge,"Los Angeles, California, United States","Battery, Electronics, Hardware",Product Crowdfunding,2018-11-04,1093482.0,USD,1093482.0,1-10,2334934.0,USD,2334934.0,2.0,,,,,,1.0,,,,For Profit,2016-01-01,https://twitter.com/omni_charge,https://www.facebook.com/omnicharge/,,,,,Less than $1M
11429,Nex Computer LLC,https://www.crunchbase.com/organization/nex-computer-llc,"Walnut Creek, California, United States","Computer, Hardware, Innovation Management",Product Crowdfunding,2016-02-16,450000.0,USD,450000.0,1-10,450000.0,USD,450000.0,1.0,,,,,,2.0,,,,,2016-01-01,https://twitter.com/NexComputer,,https://www.linkedin.com/company/10684145/,,,,Less than $1M
11437,Skinners,https://www.crunchbase.com/organization/skinners,"Brno, Jihomoravsky kraj, Czech Republic","Consumer Goods, Fashion, Manufacturing, Outdoors, Shoes",Product Crowdfunding,2016-07-21,1547205.0,USD,1547205.0,11-50,2201762.0,USD,2201762.0,2.0,,,,,,2.0,,,,For Profit,2016-01-01,,https://www.facebook.com/pg/skinnersoriginal/,https://www.linkedin.com/company/17941330/,,,,Less than $1M
11654,IDA USA LLC,https://www.crunchbase.com/organization/ida-usa-llc,"Columbus, Ohio, United States","Hardware, Information Services, Information Technology, Innovation Management",Product Crowdfunding,2017-09-11,125000.0,USD,125000.0,1-10,125000.0,USD,125000.0,1.0,,,,,,2.0,,,,For Profit,2016-01-01,,,https://www.linkedin.com/company/ida-ltd.,,,,Less than $1M
11741,CryptoTrust,https://www.crunchbase.com/organization/cryptotrust,"Raleigh, North Carolina, United States","Innovation Management, Service Industry, Social Impact",Product Crowdfunding,2016-02-17,31000.0,USD,31000.0,,31000.0,USD,31000.0,1.0,,,,,,1.0,,,,,2016-01-01,https://www.twitter.com/trustcrypto,https://www.facebook.com/cryptotrust-1159184347503814,https://www.linkedin.com/company/cryptotrust-llc/,,,,Less than $1M
12799,Prepd,https://www.crunchbase.com/organization/prepd,"San Francisco, California, United States","Consumer Goods, Product Design",Product Crowdfunding,2016-02-02,2900000.0,USD,2900000.0,1-10,2900000.0,USD,2900000.0,1.0,,,,,,2.0,,,,For Profit,2016-01-01,https://twitter.com/getprepd,https://www.facebook.com/getprepd,https://www.linkedin.com/company/prepd,,,,$1M to $10M
13410,Zungle,https://www.crunchbase.com/organization/zungle,"Los Angeles, California, United States","Fashion, Lifestyle, Wearables",Product Crowdfunding,2016-10-06,2400000.0,USD,2400000.0,11-50,6297035.0,USD,6297035.0,3.0,,,,,,6.0,,,,For Profit,2016-02-01,,https://www.facebook.com/zungleinc/,,,,,$1M to $10M
14419,Deed,https://www.crunchbase.com/organization/deed-1490,"Turin, Piemonte, Italy","Audio, FinTech, Fitness, Hardware, Information and Communications Technology (ICT), Information Technology, Software, Wearables, Wellness",Product Crowdfunding,2019-06-01,110000.0,USD,110000.0,11-50,895399.0,USD,895399.0,5.0,,,,,,2.0,,,,For Profit,2016-05-23,https://twitter.com/getwearable,https://www.facebook.com/getwearable/,https://www.linkedin.com/company/deed-s.r.l.,Seed,,,Less than $1M
15331,Everex,https://www.crunchbase.com/organization/everex-one,"Singapore, Central Region, Singapore","Blockchain, Financial Services, Information Technology",Product Crowdfunding,2017-09-01,10000000.0,USD,10000000.0,11-50,10500000.0,USD,10500000.0,2.0,,,,,,2.0,,,,For Profit,2016-10-10,https://twitter.com/everexio?lang=en,https://www.facebook.com/everex.io/,https://in.linkedin.com/company/everexio,Seed,,,$1M to $10M
16560,Tropicfeel,https://www.crunchbase.com/organization/tropic,"Barcelona, Catalonia, Spain","Brand Marketing, Fashion, Shoes, Travel",Product Crowdfunding,2019-06-14,2063872.0,EUR,2317629.0,1-10,2063872.0,EUR,2317629.0,1.0,,,,,,2.0,,,,For Profit,2017-01-01,,https://www.facebook.com/TropicfeelCOM/,https://www.linkedin.com/company/tropicfeel/,,,,Less than $1M
16828,Cinder Precision Grill,https://www.crunchbase.com/organization/cinder-precision-grill,"Palo Alto, California, United States","Cooking, Food and Beverage, Food Processing",Product Crowdfunding,2017-08-02,75000.0,USD,75000.0,1-10,75000.0,USD,75000.0,1.0,,,,,,1.0,,,,For Profit,2017-01-01,,https://www.facebook.com/cindercooks,https://www.linkedin.com/company-beta/3151230/,,,,Less than $1M
16840,Ombraz Sunglasses,https://www.crunchbase.com/organization/ombraz-sunglasses,"Seattle, Washington, United States","Brand Marketing, Fashion",Product Crowdfunding,2018-04-20,116181.0,USD,116181.0,1-10,116181.0,USD,116181.0,1.0,,,,,,2.0,,,,,2017-01-01,,https://www.facebook.com/ombrazsunglasses/,https://www.linkedin.com/company/ombrazsunglasses/?originalSubdomain=in,,,,Less than $1M
18022,Dark Mail Alliance,https://www.crunchbase.com/organization/dark-mail-alliance,"Dallas, Texas, United States","Architecture, Information Technology, Messaging, Software",Product Crowdfunding,2013-11-28,212000.0,USD,212000.0,11-50,212000.0,USD,212000.0,1.0,,,,,,4.0,,,,,2017-01-01,http://twitter.com/DarkMailAllies,,,,,,$1M to $10M
18609,Travis the Translator,https://www.crunchbase.com/organization/travis-the-translator,"Rotterdam, Zuid-Holland, The Netherlands","Artificial Intelligence, Mobile",Product Crowdfunding,2017-03-25,1859977.0,USD,1859977.0,11-50,1859977.0,USD,1859977.0,1.0,,,,,,2.0,,,,For Profit,2017-01-02,https://twitter.com/travisglobal,https://www.facebook.com/TravisTranslator/,https://www.linkedin.com/company/travistranslator,,,,$1M to $10M
19314,ROYBI,https://www.crunchbase.com/organization/roybi,"Mountain View, California, United States","Artificial Intelligence, EdTech, Education, Language Learning, Machine Learning, Robotics",Product Crowdfunding,2019-11-01,120000.0,USD,120000.0,1-10,4320000.0,USD,4320000.0,2.0,,,,,,1.0,,,,For Profit,2017-08-29,https://twitter.com/roybirobot,https://facebook.com/roybirobot,https://linkedin.com/company/roybirobot,Seed,,,$1M to $10M
19620,Mantisyoga,https://www.crunchbase.com/organization/mantisyoga,"Bozeman, Montana, United States","Fitness, Manufacturing, Wellness",Product Crowdfunding,2018-05-10,12612.0,USD,12612.0,1-10,12612.0,USD,12612.0,1.0,,,,,,1.0,,,,,2017-12-01,https://twitter.com/mantisyoga,https://www.facebook.com/mantisyoga/,https://www.linkedin.com/company/mantisyoga/,,,,$1M to $10M
