,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
811,Sanavi,https://www.crunchbase.com/organization/sanavi,"Schenectady, New York, United States","Food and Beverage, Wine And Spirits",Angel,2019-11-24,1250000.0,USD,1250000.0,1-10,1250000.0,USD,1250000.0,1.0,,,,,,,,,,,2015-01-01,https://twitter.com/Sanavi_Water,https://www.facebook.com/SanaviWater/,,Seed,,,Less than $1M
826,Breakit,https://www.crunchbase.com/organization/breakit,"Stockholm, Stockholms Lan, Sweden",News,Angel,2018-06-20,900000.0,USD,900000.0,1-10,900000.0,USD,900000.0,1.0,,,,,,1.0,,,,,2015-01-01,https://twitter.com/breakit_se,https://www.facebook.com/pages/Breakit/1529809350615000?fref=ts,https://www.linkedin.com/company/6388660,Seed,,,Less than $1M
838,WeddingWishlist,https://www.crunchbase.com/organization/weddingwishlist,"Chennai, Tamil Nadu, India","Family, Gift, Wedding",Angel,2016-07-05,300000.0,USD,300000.0,11-50,300000.0,USD,300000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/weddingwishlst,https://www.facebook.com/weddingwishlistonline/,,Seed,,,Less than $1M
849,Cohort,https://www.crunchbase.com/organization/cohort-2,"Dublin, Dublin, Ireland","Communities, Online Portals, Social Media, Social Network",Angel,2017-04-30,575000.0,USD,575000.0,1-10,575000.0,USD,575000.0,1.0,,,,,,1.0,,,,,2015-01-01,https://www.twitter.com/cohorthq,,https://www.linkedin.com/company-beta/10454661/,Seed,,,Less than $1M
872,ThinkGenetic,https://www.crunchbase.com/organization/thinkgenetic,"Sudbury, Massachusetts, United States","Biotechnology, Health Care, Medical",Angel,2019-02-19,1500000.0,USD,1500000.0,11-50,1500000.0,USD,1500000.0,1.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/ThinkGenetic,https://www.facebook.com/GPSforGenetics/,https://www.linkedin.com/company/thinkgenetic,Seed,,,Less than $1M
899,SalesBuddy Pro,https://www.crunchbase.com/organization/salesbuddy-pro,"Pennsylvania Furnace, Pennsylvania, United States","Marketing, Software",Angel,2017-05-18,700000.0,USD,700000.0,11-50,700000.0,USD,700000.0,1.0,,,,,,1.0,,,,,2015-01-01,,https://www.facebook.com/HeyBuddyPlatform/,https://www.linkedin.com/company/salesbuddy-pro/,Seed,,,Less than $1M
917,TeamEcho,https://www.crunchbase.com/organization/teamecho,"Linz, Oberosterreich, Austria","Internet, Internet of Things, Software",Angel,2019-04-17,310000.0,EUR,350197.0,1-10,310000.0,EUR,350197.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/teamecho_at,https://www.facebook.com/listentoyourteam/,,Seed,,,Less than $1M
931,24 Proof,https://www.crunchbase.com/organization/24-proof,"Draper, Utah, United States","Developer Platform, Developer Tools, Information Technology, Mobile, Skill Assessment, Software",Angel,2017-03-18,250000.0,USD,250000.0,11-50,275000.0,USD,275000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/24proof_com,https://www.facebook.com/24proof,https://www.linkedin.com/company/9443296,Seed,,,Less than $1M
943,Haqdarshak,https://www.crunchbase.com/organization/haqdarshak,"Jaipur, Rajasthan, India","Finance, Financial Services, Government",Angel,2017-03-22,191000.0,USD,191000.0,11-50,191000.0,USD,191000.0,1.0,,,,,,3.0,,,,,2015-01-01,,,,Seed,,,Less than $1M
952,SpectoLabs,https://www.crunchbase.com/organization/spectolabs,"London, England, United Kingdom","Architecture, Information Technology, Software",Angel,2016-04-14,350000.0,GBP,495139.0,1-10,500000.0,GBP,726774.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/spectolabs,,https://www.linkedin.com/in/tjcunliffe,Seed,,,Less than $1M
974,Comb,https://www.crunchbase.com/organization/comb-2,"London, England, United Kingdom","Apps, Content Discovery, E-Commerce, Fashion, Mobile Apps, Social Shopping",Angel,2016-05-17,450000.0,GBP,649480.0,1-10,525000.0,GBP,763017.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/hellocomb,https://www.facebook.com/hellocomb,https://www.linkedin.com/company/comb-app,Seed,,,Less than $1M
1543,ProcessOut,https://www.crunchbase.com/organization/processout,"New York, New York, United States","Finance, Payments, Software",Angel,2018-02-07,1000000.0,USD,1000000.0,11-50,1000000.0,USD,1000000.0,3.0,Was Acquired,Checkout,https://www.crunchbase.com/organization/checkout-com,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/processout,https://www.facebook.com/processout,https://www.linkedin.com/company/processout,M&A,Acquisition,2020-02-26,$1M to $10M
1673,Jexia,https://www.crunchbase.com/organization/jexia,"Amsterdam, Noord-Holland, The Netherlands",Software,Angel,2019-07-12,4000000.0,EUR,4512599.0,11-50,4000000.0,EUR,4512599.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/jexiacom,https://www.facebook.com/jexiacom/,https://www.linkedin.com/company/9237198,Seed,,,$1M to $10M
1916,Bidstack,https://www.crunchbase.com/organization/bidstack,"London, England, United Kingdom","Advertising, Advertising Platforms, Digital Signage",Angel,2017-07-15,500000.0,GBP,654771.0,11-50,637650.0,GBP,859775.0,2.0,Made Acquisitions,,,1.0,,3.0,,,,For Profit,2015-01-01,https://twitter.com/_bidstack,,https://www.linkedin.com/company/bidstack,Seed,,,$1M to $10M
2133,Connect India,https://www.crunchbase.com/organization/connect-india,"New Delhi, Delhi, India","Delivery Service, Logistics",Angel,2018-09-06,,,,51-100,67000000.0,INR,1003906.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/connectindia_,https://www.facebook.com/connectindiaecommerceservices,https://www.linkedin.com/company/connect-india-e-commerce-services,Seed,,,$10M to $50M
2198,"Cloudwirx, Inc.",https://www.crunchbase.com/organization/cloudwirx-inc,"San Francisco, California, United States","Cloud Data Services, Software, Telecommunications",Angel,2017-03-22,4500000.0,USD,4500000.0,11-50,5100000.0,USD,5100000.0,2.0,,,,,,2.0,,,,,2015-01-01,https://twitter.com/Cloudwirx,https://www.facebook.com/CloudwirX-367751876730372/,https://www.linkedin.com/company/cloudwirx?trk=company_logo,Seed,,,$10M to $50M
