,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
21324,Saturn Cloud,https://www.crunchbase.com/organization/saturn-cloud,"New York, New York, United States","Big Data, Software",Seed,2019-09-05,4000000.0,USD,4000000.0,11-50,4000000.0,USD,4000000.0,1.0,,,,,,2.0,,,,For Profit,2019,https://twitter.com/saturn_cloud,https://www.facebook.com/saturncloud.io/,https://www.linkedin.com/company/saturn-cloud/,Seed,,,$1M to $10M
21325,Arvelle Therapeutics,https://www.crunchbase.com/organization/arvelle-therapeutics,"Basel, Basel-Stadt, Switzerland",Biotechnology,Series A,2019-02-18,180000000.0,CHF,179146724.0,11-50,280000000.0,CHF,278672682.0,2.0,,,,,,3.0,,,,,2019,,,https://www.linkedin.com/company/arvelle-therapeutics-inc/,Early Stage Venture,,,$1M to $10M
21327,Vindex,https://www.crunchbase.com/organization/vindex,"New York, New York, United States","FinTech, Infrastructure",Series A,2019-10-30,60000000.0,USD,60000000.0,101-250,60000000.0,USD,60000000.0,1.0,Made Acquisitions,,,1.0,,2.0,,,,For Profit,2019,https://twitter.com/vindex,https://www.facebook.com/TheVindexGroup,https://in.linkedin.com/company/vindex-holdings,Early Stage Venture,,,$10M to $50M
21328,Push.ai LLC,https://www.crunchbase.com/organization/gift-voucher-kiosk,"Zug, Zug, Switzerland","Artificial Intelligence, E-Commerce, Gift Card, Machine Learning, Social Shopping",Seed,2019-11-05,500000.0,EUR,553703.0,1-10,982524.0,USD,982524.0,3.0,,,,,,1.0,,,,For Profit,2019,https://twitter.com/masha_ai_,https://www.facebook.com/push.ai.lab,https://www.linkedin.com/company/masha-ai,Seed,,,$1M to $10M
21329,onetool,https://www.crunchbase.com/organization/onetool,"San Francisco, California, United States","Information Services, Information Technology, SaaS, Software",Pre-Seed,2020-03-16,150000.0,USD,150000.0,11-50,816736.0,USD,816736.0,2.0,,,,,,2.0,,,,For Profit,2019,,https://www.facebook.com/Onetool-448559075912384,https://www.linkedin.com/company/onetool/about/,Seed,,,$1M to $10M
21332,VComply,https://www.crunchbase.com/organization/vcomply,"San Jose, California, United States","Compliance, Enterprise Software, Information Technology, Risk Management, SaaS, Software",Seed,2019-07-19,2500000.0,USD,2500000.0,11-50,2500000.0,USD,2500000.0,1.0,,,,,,1.0,,,,For Profit,2019,https://twitter.com/V_Comply,https://www.facebook.com/VComplySupport,https://www.linkedin.com/company/v-comply/,Seed,,,$1M to $10M
21334,Pearl,https://www.crunchbase.com/organization/pearl-080d,"West Hollywood, California, United States","Artificial Intelligence, Computer Vision, Dental, Health Care, Image Recognition, Software",Series A,2019-05-08,11000000.0,USD,11000000.0,11-50,11000000.0,USD,11000000.0,1.0,,,,,,2.0,,,,For Profit,2019,https://twitter.com/pearlincai,https://www.facebook.com/pearlartificialintelligence/,https://www.linkedin.com/company/hellopearl,Early Stage Venture,,,$1M to $10M
21335,PollyEx,https://www.crunchbase.com/organization/pollyex,"San Francisco, California, United States","SaaS, Software",Series A,2019-04-03,5000000.0,USD,5000000.0,11-50,5000000.0,USD,5000000.0,1.0,,,,,,1.0,,,,For Profit,2019,,,https://www.linkedin.com/company/pollyex/,Early Stage Venture,,,$1M to $10M
21339,Arranta Bio,https://www.crunchbase.com/organization/arranta-bio,"Watertown, Massachusetts, United States",Biotechnology,Venture - Series Unknown,2019-10-30,82000000.0,USD,82000000.0,51-100,82000000.0,USD,82000000.0,1.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2019,,https://www.facebook.com/ArrantaBio/,https://www.linkedin.com/company/arranta-bio,,,,$10M to $50M
21343,Triplet Therapeutics,https://www.crunchbase.com/organization/triplet-therapeutics,"Cambridge, Massachusetts, United States","Biotechnology, Health Care",Series A,2019-12-17,59000000.0,USD,59000000.0,11-50,59000000.0,USD,59000000.0,1.0,,,,,,1.0,,,,For Profit,2019,https://twitter.com/tripletthera,,https://www.linkedin.com/company/triplet-therapeutics/,Early Stage Venture,,,$1M to $10M
21345,Sofar Ocean Technologies,https://www.crunchbase.com/organization/sofar-ocean-technologies,"San Francisco, California, United States",Information Technology,Series A,2019-03-27,7000000.0,USD,7000000.0,11-50,7000000.0,USD,7000000.0,1.0,,,,,,2.0,,,,,2019,https://twitter.com/sofarocean,,https://www.linkedin.com/company/sofarocean/about/,Early Stage Venture,,,$1M to $10M
21346,Fazenda Futuro,https://www.crunchbase.com/organization/fazenda-futuro,"Rio De Janeiro, Rio de Janeiro, Brazil","Food and Beverage, Food Processing, Retail",Series A,2019-07-19,8500000.0,USD,8500000.0,11-50,8500000.0,USD,8500000.0,1.0,,,,,,1.0,,,,,2019,,https://www.facebook.com/fazendafuturo/,https://www.linkedin.com/company/fazendafuturo/,Early Stage Venture,,,$10M to $50M
21348,BondHouse,https://www.crunchbase.com/organization/bondhouse,"New York, New York, United States","FinTech, Information Technology, Software",Seed,2019-03-20,5011250.0,USD,5011250.0,11-50,5011250.0,USD,5011250.0,1.0,,,,,,2.0,,,,,2019,,,https://www.linkedin.com/company/bondhouseinc/about/,Seed,,,$1M to $10M
21356,CERE Network,https://www.crunchbase.com/organization/cere-network,"San Francisco, California, United States","Blockchain, Information Technology",Seed,2019-08-19,3500000.0,USD,3500000.0,11-50,3500000.0,USD,3500000.0,3.0,,,,,,1.0,,,,,2019,https://twitter.com/cerenetwork,https://www.facebook.com/pg/Cerenetwork/about/?ref=page_internal,https://www.linkedin.com/company/cere-network/,Seed,,,$1M to $10M
21357,Agerris,https://www.crunchbase.com/organization/agerris,"Chippendale, New South Wales, Australia","Agriculture, Artificial Intelligence, Farming, Machine Learning, Robotics",Seed,2019-04-08,6500000.0,USD,6500000.0,11-50,6500000.0,USD,6500000.0,1.0,,,,,,1.0,,,,,2019,,,https://www.linkedin.com/company/agerris,Seed,,,$1M to $10M
21358,Norban,https://www.crunchbase.com/organization/norban,"Malm̦, Skane Lan, Sweden",Real Estate,Seed,2019-05-01,12300000.0,SEK,1289823.0,11-50,12300000.0,SEK,1289823.0,1.0,,,,,,1.0,,,,For Profit,2019,,https://www.facebook.com/norban.se/,https://www.linkedin.com/company/norban,Seed,,,$10M to $50M
21361,Shift5,https://www.crunchbase.com/organization/shift5,"Arlington, Virginia, United States","Cyber Security, Hardware, Information Technology, Software",Seed,2019-09-12,2500000.0,USD,2500000.0,11-50,2500000.0,USD,2500000.0,1.0,,,,,,1.0,,,,For Profit,2019,https://twitter.com/shift5co,,https://www.linkedin.com/company/shift5/about/,Seed,,,$1M to $10M
21363,Plantt,https://www.crunchbase.com/organization/plantt,"Oakland, California, United States","E-Commerce, Internet",Seed,2019-10-31,1765000.0,USD,1765000.0,11-50,1765000.0,USD,1765000.0,1.0,,,,,,1.0,,,,For Profit,2019,,https://www.facebook.com/Plantt.welcome/,https://www.linkedin.com/company/plantt/,Seed,,,$1M to $10M
