,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
14247,Cashaa,https://www.crunchbase.com/organization/cashaa,"London, England, United Kingdom","Banking, Bitcoin, Blockchain, Cryptocurrency, FinTech, Payments, Small and Medium Businesses",Initial Coin Offering,2017-11-05,18770000.0,USD,18770000.0,11-50,19770000.0,USD,19770000.0,2.0,,,,,,4.0,,,,For Profit,2016-06-24,https://www.twitter.com/cashaaltd,https://www.facebook.com/cashaaLtd/,https://www.linkedin.com/company/cashaa,,,,$1M to $10M
14262,BANKEX,https://www.crunchbase.com/organization/bankex,"New York, New York, United States","Blockchain, FinTech, Internet",Initial Coin Offering,2017-11-28,16500000.0,USD,16500000.0,11-50,18000000.0,USD,18000000.0,2.0,,,,,,2.0,,,,For Profit,2016-06-01,https://twitter.com/bankex,https://www.facebook.com/bankexchange,https://www.linkedin.com/company/bankex,,,,Less than $1M
14359,Sapien,https://www.crunchbase.com/organization/sapien,"Fremont, California, United States","Blockchain, Internet, Social Media, Social News",Initial Coin Offering,2018-01-31,11000000.0,USD,11000000.0,11-50,11000000.0,USD,11000000.0,1.0,,,,,,2.0,,,,For Profit,2016-05-31,https://twitter.com/sapien_network,https://www.facebook.com/sapien.network/,https://www.linkedin.com/company/sapien.network/,,,,$1M to $10M
15286,Centrality,https://www.crunchbase.com/organization/centrality,"Auckland, Auckland, New Zealand","Blockchain, Cryptocurrency, Developer Platform, Information Technology",Initial Coin Offering,2018-01-15,80000000.0,USD,80000000.0,51-100,95000000.0,USD,95000000.0,2.0,,,,,,2.0,,,,For Profit,2016-07-01,https://twitter.com/centralityai,https://www.facebook.com/centralityai/?ref=nf,https://www.linkedin.com/company/10887802/,,,,$1M to $10M
15325,CREDITS,https://www.crunchbase.com/organization/credits-806d,"Singapore, Central Region, Singapore","Blockchain, Cryptocurrency, Developer Platform, IT Infrastructure",Initial Coin Offering,2018-02-17,20000000.0,USD,20000000.0,51-100,20000000.0,USD,20000000.0,1.0,,,,,,,,,,For Profit,2016-09-12,https://twitter.com/creditscom,https://www.facebook.com/creditscom/,https://www.linkedin.com/company/13370238/,,,,$1M to $10M
15357,iExec,https://www.crunchbase.com/organization/iexec,"Lyon, Rhone-Alpes, France","Blockchain, Cloud Computing, Software",Initial Coin Offering,2017-04-25,12000000.0,USD,12000000.0,11-50,12000000.0,USD,12000000.0,1.0,,,,,,2.0,,,,For Profit,2016-10-16,https://twitter.com/iex_ec?lang=en,https://www.facebook.com/iexecteam/,https://www.linkedin.com/company/iex.ec/,,,,$1M to $10M
15414,Wawllet Enterprises Limited,https://www.crunchbase.com/organization/wawllet-enterprises-limited,"Strovolos, Nicosia, Cyprus","Cryptocurrency, Finance, Financial Services",Initial Coin Offering,2018-01-25,35000000.0,USD,35000000.0,51-100,36500000.0,USD,36500000.0,2.0,,,,,,1.0,,,,For Profit,2016-10-15,https://twitter.com/wawllet,https://www.facebook.com/wawllet,,,,,$1M to $10M
15755,"Gramarye Media, Inc.",https://www.crunchbase.com/organization/gramarye-media-inc,"Atlanta, Georgia, United States","Blockchain, Casual Games, Content, EBooks, Film, Film Distribution, Film Production, Online Games, Publishing, Video Games",Initial Coin Offering,2018-06-25,,,,1-10,,,,1.0,,,,,,2.0,,,,For Profit,2016-09-09,https://twitter.com/GramaryeMedia,https://www.facebook.com/GramaryeMedia/,https://www.linkedin.com/company/gramarye-media-inc./,,,,Less than $1M
16170,Humaniq,https://www.crunchbase.com/organization/humaniq,"London, England, United Kingdom","Blockchain, Finance, Financial Services, FinTech, Information Technology",Initial Coin Offering,2017-04-28,5163000.0,USD,5163000.0,101-250,5163000.0,USD,5163000.0,1.0,,,,,,1.0,,,,For Profit,2016-12-01,https://twitter.com/humaniq,https://facebook.com/humaniq.co,https://www.linkedin.com/company/humaniq,,,,$10M to $50M
16550,Pigzbe,https://www.crunchbase.com/organization/pigzbe,"London, England, United Kingdom",FinTech,Initial Coin Offering,2018-06-25,6000000.0,USD,6000000.0,11-50,6000000.0,USD,6000000.0,1.0,,,,,,1.0,,,,,2017-01-01,https://twitter.com/pigzbe,https://www.facebook.com/pigzbe/,https://www.linkedin.com/company/pigzbe/,,,,Less than $1M
16551,Mobius,https://www.crunchbase.com/organization/mobius-4,"George Town, Midland, Cayman Islands","Apps, Bitcoin, Cryptocurrency, Developer APIs",Initial Coin Offering,2018-01-18,39000000.0,USD,39000000.0,51-100,39500000.0,USD,39500000.0,2.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/mobius_network,https://www.facebook.com/mobiusnet/,https://www.linkedin.com/company/mobiusnetwork/,,,,Less than $1M
16553,CASPIAN,https://www.crunchbase.com/organization/caspian-dc20,"San Francisco, California, United States","Asset Management, Cryptocurrency, FinTech",Initial Coin Offering,2018-09-17,19500000.0,USD,19500000.0,101-250,19500000.0,USD,19500000.0,2.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/Caspian_Tech,,https://www.linkedin.com/company/caspian-tech,,,,Less than $1M
16575,Codex Protocol,https://www.crunchbase.com/organization/codex-protocol,"London, England, United Kingdom","Art, Blockchain, Information Services, Information Technology, Software",Initial Coin Offering,2018-07-20,,,,1-10,5700000.0,USD,5700000.0,4.0,,,,,,3.0,,,,For Profit,2017-01-01,https://twitter.com/CodexProtocol,https://www.facebook.com/codexprotocol/,https://www.linkedin.com/company/codex-protocol/,,,,Less than $1M
16582,SpankChain,https://www.crunchbase.com/organization/spankchain,"Venice, California, United States","Adult, Blockchain, Cryptocurrency, Ethereum",Initial Coin Offering,2017-10-01,6000000.0,USD,6000000.0,51-100,6000000.0,USD,6000000.0,1.0,,,,,,4.0,,,,For Profit,2017-01-01,https://twitter.com/SpankChain,,https://www.linkedin.com/company/18331111/,,,,Less than $1M
16605,UCOT,https://www.crunchbase.com/organization/ultimo-digitaltechnologies-ucot,"Sydney, New South Wales, Australia","Blockchain, Information Services, Information Technology",Initial Coin Offering,2018-03-19,40000000.0,USD,40000000.0,11-50,40000000.0,USD,40000000.0,1.0,,,,,,3.0,,,,,2017-01-01,https://twitter.com/UcotMedia,https://www.facebook.com/UCOT-128764251169363/,https://www.linkedin.com/company/ucotworld/?originalSubdomain=in,,,,Less than $1M
16614,Metronome,https://www.crunchbase.com/organization/metronome-a4ae,"Chicago, Illinois, United States","Cryptocurrency, Financial Services",Initial Coin Offering,2018-06-25,12110500.0,USD,12110500.0,1-10,12110500.0,USD,12110500.0,1.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/MTNToken,https://www.facebook.com/pg/MetronomeToken,https://www.linkedin.com/company/metronome-token,,,,Less than $1M
16670,Gibraltar Blockchain Exchange,https://www.crunchbase.com/organization/gibraltar-blockchain-exchange,"Gibraltar, Gibraltar, Gibraltar","Finance, Financial Services, FinTech, Personal Finance",Initial Coin Offering,2018-02-09,27000000.0,USD,27000000.0,11-50,27000000.0,USD,27000000.0,1.0,,,,,,1.0,,,,,2017-01-01,https://twitter.com/GibBlockEx,https://www.facebook.com/GibBlockEx/,https://www.linkedin.com/company/gibraltar-blockchain-exchange/,,,,Less than $1M
16772,Skraps,https://www.crunchbase.com/organization/skraps,"Los Angeles, California, United States","Cryptocurrency, Finance",Initial Coin Offering,2018-01-14,3000000.0,USD,3000000.0,11-50,3000000.0,USD,3000000.0,1.0,,,,,,,,,,For Profit,2017-01-01,https://twitter.com/SKRAPSAPP,https://www.facebook.com/SKRAPSAPP/,https://www.linkedin.com/company/skraps-inc/,,,,Less than $1M
