,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
1001,Dunzo,https://www.crunchbase.com/organization/dunzo,"Bengaluru, Karnataka, India","Consumer Goods, Customer Service, Delivery Service, Mobile, Mobile Apps",Series E,2020-03-15,,,,501-1000,89572569.0,USD,89572569.0,13.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/dunzoit,https://www.facebook.com/dunzoit/,https://www.linkedin.com/company/dunzo-in/,Late Stage Venture,,,$1M to $10M
1044,Licious,https://www.crunchbase.com/organization/licious,"Bengaluru, Karnataka, India","Delivery Service, E-Commerce, Food and Beverage, Food Delivery",Series E,2019-12-16,30000000.0,USD,30000000.0,1001-5000,94500000.0,USD,94500000.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/LiciousFoods,https://www.facebook.com/LiciousFoods/,https://www.linkedin.com/company/9471845?trk=prof-exp-company-name,Late Stage Venture,,,$1M to $10M
1163,Movinga,https://www.crunchbase.com/organization/movinga,"Berlin, Berlin, Germany","Internet, Logistics, Service Industry, Supply Chain Management",Series E,2018-11-22,15000000.0,EUR,17103743.0,251-500,92806265.0,USD,92806265.0,6.0,Made Acquisitions,,,2.0,,3.0,,,,For Profit,2015-01-01,https://twitter.com/Movinga,https://www.facebook.com/movinga.de,https://www.linkedin.com/company/10137971,Late Stage Venture,,,$1M to $10M
1254,Veritas Finance,https://www.crunchbase.com/organization/veritas-finance,"Guindy, Tamil Nadu, India","Finance, Financial Services",Series E,2020-03-20,3500000000.0,INR,46282460.0,1001-5000,152495695.0,USD,152495695.0,8.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/veritasfin,https://www.facebook.com/veritasfinancepvtltd,https://www.linkedin.com/company/veritas-finance-private-limited,Late Stage Venture,,,$1M to $10M
2000,Unacademy,https://www.crunchbase.com/organization/unacademy,"Bangalore, Karnataka, India","E-Learning, Education, Internet, Software, Training",Series E,2020-02-19,110000000.0,USD,110000000.0,501-1000,198500000.0,USD,198500000.0,7.0,Made Acquisitions,,,2.0,,4.0,,,,For Profit,2015-01-01,https://twitter.com/unacademy,https://www.facebook.com/unacademy/,https://www.linkedin.com/company/unacademy,Late Stage Venture,,,$10M to $50M
2008,Letgo,https://www.crunchbase.com/organization/letgo,"New York, New York, United States","Apps, E-Commerce, Marketplace, Shopping",Series E,2018-08-08,500000000.0,USD,500000000.0,101-250,975000000.0,USD,975000000.0,5.0,"Made Acquisitions, Was Acquired",OfferUp,https://www.crunchbase.com/organization/offerup,1.0,,3.0,,,,For Profit,2015-01-01,https://twitter.com/letgo,https://www.facebook.com/letgo/,https://www.linkedin.com/company/letgo,M&A,Acquisition,2020-03-26,$10M to $50M
3800,Root Insurance,https://www.crunchbase.com/organization/rootinsurance,"Columbus, Ohio, United States","Auto Insurance, Automotive, Insurance, InsurTech, Mobile Apps, Property Insurance",Series E,2019-08-20,350000000.0,USD,350000000.0,501-1000,527500000.0,USD,527500000.0,5.0,,,,,,2.0,,,,For Profit,2015-03-01,https://twitter.com/joinroot,https://www.facebook.com/rootinsuranceco/,https://www.linkedin.com/company/root-insurance/,Late Stage Venture,,,$10M to $50M
7845,Kustomer,https://www.crunchbase.com/organization/kustomer,"New York, New York, United States","CRM, Customer Service, Enterprise, SaaS, Small and Medium Businesses",Series E,2019-12-04,60000000.0,USD,60000000.0,101-250,173500000.0,USD,173500000.0,6.0,,,,,,2.0,,,,For Profit,2015-08-14,https://twitter.com/kustomer,https://www.facebook.com/kustomerplatform,https://www.linkedin.com/company/kustomer,Late Stage Venture,,,$10M to $50M
