,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
2188,Xtant Medical,https://www.crunchbase.com/organization/xtant-medical,"Belgrade, Montana, United States","Health Care, Manufacturing, Medical, Medical Device",Post-IPO Equity,2016-11-22,3800000.0,USD,3800000.0,251-500,3800000.0,USD,3800000.0,1.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/xtantmedical,https://www.facebook.com/Xtant-Medical-183705962377770,https://www.linkedin.com/company/xtant-medical,IPO,,,$10M to $50M
2193,Automotive Properties Real Estate Investment Trust,https://www.crunchbase.com/organization/automotive-properties-real-estate-investment-trust,"Toronto, Ontario, Canada","Commercial Real Estate, Construction, Real Estate",Post-IPO Equity,2019-12-24,92000000.0,USD,92000000.0,11-50,92000000.0,USD,92000000.0,1.0,,,,,,,,,,For Profit,2015-01-01,,,,IPO,,,$10M to $50M
2209,Weyland Tech,https://www.crunchbase.com/organization/weyland-tech,"New York, New York, United States","Mobile Apps, Software",Post-IPO Equity,2018-10-10,2000000.0,USD,2000000.0,11-50,2000000.0,USD,2000000.0,1.0,Made Acquisitions,,,1.0,,,,,,For Profit,2015-01-01,https://twitter.com/weylandtechinc,https://www.facebook.com/weylandtech,https://www.linkedin.com/company/weylandtech/,,,,$10M to $50M
2216,Frasers Logistics and Industrial Trust,https://www.crunchbase.com/organization/frasers-logistics-and-industrial-trust,"Singapore, Central Region, Singapore",Real Estate,Post-IPO Equity,2019-07-30,258100000.0,SGD,188332299.0,11-50,306346877.0,USD,306346877.0,2.0,,,,,,,,,,For Profit,2015-01-01,,,,IPO,,,$10M to $50M
3939,Manulife US REIT,https://www.crunchbase.com/organization/manulife-us-reit,"Singapore, Central Region, Singapore","Real Estate, Real Estate Investment",Post-IPO Equity,2019-09-22,142700000.0,USD,142700000.0,11-50,236700000.0,USD,236700000.0,2.0,,,,,,,,,,,2015-03-01,,,,IPO,,,$10M to $50M
3974,Pyxis Tankers,https://www.crunchbase.com/organization/pyxis-tankers,"Maro̼li, Evvoia, Greece",Transportation,Post-IPO Equity,2017-12-21,4800000.0,USD,4800000.0,1-10,4800000.0,USD,4800000.0,1.0,,,,,,,,,,,2015-03-23,,,https://www.linkedin.com/company/pyxis-tankers-inc-/,IPO,,,$1M to $10M
5600,INTERNATIONAL Cement Group,https://www.crunchbase.com/organization/international-cement-group,"Singapore, Central Region, Singapore",Building Material,Post-IPO Equity,2019-05-22,3600000.0,SGD,2609834.0,1001-5000,3600000.0,SGD,2609834.0,1.0,,,,,,,,,,,2015-05-11,,,,IPO,,,$10M to $50M
8573,Arix Bioscience,https://www.crunchbase.com/organization/arix-bioscience,"London, England, United Kingdom","Biotechnology, Finance, Health Care, Venture Capital",Post-IPO Equity,2018-04-04,21438354.0,USD,21438354.0,11-50,21438354.0,USD,21438354.0,1.0,,,,,,,,,,For Profit,2015-09-15,https://twitter.com/arixbioscience,,https://www.linkedin.com/company/arix-bioscience-plc/,IPO,,,$1M to $10M
8681,HC Surgical Specialist,https://www.crunchbase.com/organization/hc-surgical-specialist,"Singapore, Central Region, Singapore",Health Care,Post-IPO Equity,2019-07-29,3650000.0,USD,3650000.0,11-50,3650000.0,USD,3650000.0,1.0,Made Acquisitions,,,1.0,,,,,,For Profit,2015-09-01,,,,IPO,,,$1M to $10M
11089,KinerjaPay,https://www.crunchbase.com/organization/kinerjapay,"Jakarta, Jakarta Raya, Indonesia","E-Commerce, Payments, Transaction Processing",Post-IPO Equity,2019-01-07,200000000.0,USD,200000000.0,51-100,200000000.0,USD,200000000.0,1.0,,,,,,,,,,,2016-01-01,https://twitter.com/kinerjapay,https://www.facebook.com/KinerjaPay/,https://in.linkedin.com/company/pt-kinerja-pay-indonesia,IPO,,,Less than $1M
